City,Month,Item,Item_Category,Item_Key,Price_Local,Price_USD,FAO_Index_Value,FAO_YoY_Change_Pct,YoY_Inflation_Estimate_Pct,Data_Collection_Date,Breakfast_Basket_USD
Bogotá,2025-10-01,Milk,Dairy,Milk_1L,5672,1.35,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Milk,Dairy,Milk_1L,5630,1.34,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Milk,Dairy,Milk_1L,5714,1.36,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Milk,Dairy,Milk_1L,5798,1.38,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Milk,Dairy,Milk_1L,5588,1.33,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Milk,Dairy,Milk_1L,5714,1.36,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Fresh White Bread,Bakery,Bread_500g,6765,1.61,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Fresh White Bread,Bakery,Bread_500g,7143,1.7,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Fresh White Bread,Bakery,Bread_500g,6975,1.66,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Fresh White Bread,Bakery,Bread_500g,6849,1.63,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Fresh White Bread,Bakery,Bread_500g,6933,1.65,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Fresh White Bread,Bakery,Bread_500g,7059,1.68,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Arroz Blanco,Grains,Rice_1kg,8025,1.91,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Arroz Blanco,Grains,Rice_1kg,8487,2.02,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Arroz Blanco,Grains,Rice_1kg,8697,2.07,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Arroz Blanco,Grains,Rice_1kg,8193,1.95,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Arroz Blanco,Grains,Rice_1kg,8403,2.0,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Arroz Blanco,Grains,Rice_1kg,8571,2.04,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Eggs,Dairy & Eggs,Eggs_12,9874,2.35,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Eggs,Dairy & Eggs,Eggs_12,10084,2.4,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Eggs,Dairy & Eggs,Eggs_12,10714,2.55,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Eggs,Dairy & Eggs,Eggs_12,10252,2.44,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Eggs,Dairy & Eggs,Eggs_12,10630,2.53,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Eggs,Dairy & Eggs,Eggs_12,10672,2.54,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Local Chese,Dairy,Cheese_1kg,23697,5.64,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Local Chese,Dairy,Cheese_1kg,24412,5.81,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Local Chese,Dairy,Cheese_1kg,24286,5.78,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Local Chese,Dairy,Cheese_1kg,23655,5.63,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Local Chese,Dairy,Cheese_1kg,24454,5.82,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Local Chese,Dairy,Cheese_1kg,24538,5.84,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Chicken Fillets,Meat,Chicken_1kg,27395,6.52,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Chicken Fillets,Meat,Chicken_1kg,26513,6.31,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Chicken Fillets,Meat,Chicken_1kg,26176,6.23,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Chicken Fillets,Meat,Chicken_1kg,26513,6.31,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Chicken Fillets,Meat,Chicken_1kg,27395,6.52,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Chicken Fillets,Meat,Chicken_1kg,27059,6.44,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Beef Round,Meat,Beef_1kg,54244,12.91,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Beef Round,Meat,Beef_1kg,54538,12.98,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Beef Round,Meat,Beef_1kg,51849,12.34,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Beef Round,Meat,Beef_1kg,53361,12.7,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Beef Round,Meat,Beef_1kg,53571,12.75,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Beef Round,Meat,Beef_1kg,54328,12.93,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Apples,Fruits,Apples_1kg,12563,2.99,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Apples,Fruits,Apples_1kg,13319,3.17,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Apples,Fruits,Apples_1kg,13445,3.2,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Apples,Fruits,Apples_1kg,13193,3.14,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Apples,Fruits,Apples_1kg,13277,3.16,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Apples,Fruits,Apples_1kg,13277,3.16,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Bananas,Fruits,Bananas_1kg,6471,1.54,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Bananas,Fruits,Bananas_1kg,6765,1.61,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Bananas,Fruits,Bananas_1kg,7101,1.69,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Bananas,Fruits,Bananas_1kg,6723,1.6,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Bananas,Fruits,Bananas_1kg,6723,1.6,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Bananas,Fruits,Bananas_1kg,6849,1.63,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Oranges,Fruits,Oranges_1kg,6345,1.51,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Oranges,Fruits,Oranges_1kg,6975,1.66,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Oranges,Fruits,Oranges_1kg,7017,1.67,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Oranges,Fruits,Oranges_1kg,6933,1.65,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Oranges,Fruits,Oranges_1kg,6723,1.6,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Oranges,Fruits,Oranges_1kg,6807,1.62,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Tomatoes,Vegetables,Tomatoes_1kg,10252,2.44,127.1,-1.0,5.9,2026-03-20,7.22
Bogotá,2025-11-01,Tomatoes,Vegetables,Tomatoes_1kg,11471,2.73,126.2,-1.0,5.9,2026-03-20,7.46
Bogotá,2025-12-01,Tomatoes,Vegetables,Tomatoes_1kg,12101,2.88,125.8,-1.0,5.9,2026-03-20,7.64
Bogotá,2026-01-01,Tomatoes,Vegetables,Tomatoes_1kg,11176,2.66,124.2,-1.0,5.9,2026-03-20,7.4
Bogotá,2026-02-01,Tomatoes,Vegetables,Tomatoes_1kg,11387,2.71,125.3,-1.0,5.9,2026-03-20,7.51
Bogotá,2026-03-01,Tomatoes,Vegetables,Tomatoes_1kg,11429,2.72,126.0,-1.0,5.9,2026-03-20,7.62
Bogotá,2025-10-01,Potatoes,Vegetables,Potatoes_1kg,5168,1.23,127.1,-1.0,5.9,2026-03-20,7.22
